"","gene","B cells","ILC","Megakaryocytes/platelets","Monocytes","T cells"
"165","ACAA1",0.334623969836913,0.0088116630054369,0,0.353906500093817,0.000238866512354694
"166","ACAA2",0.00516376302335541,0.0220185294548484,0,0.0177628977338612,0.65699879655069
"167","ACACA",0,3.82232646149721,0,0.0350370705036871,0.0571971504032982
"168","ACACB",0,0,0,0,0.00140915915018661
"169","ACAD10",0,0,0,1.60058623071676,1.50922719466708
"170","ACAD11",0,0,0,0,1.00015344802316
"171","ACAD8",0,0.108903370490488,0,4.41416052722267,0.0248245915619038
"172","ACAD9",0,0,0,1.52110978748366,6.58597406219338e-05
"173","ACADM",0.0588193498004607,0.168001962348779,0,0.237745867497794,2.16634894366345
"174","ACADS",0,0.0147343472605857,0,0.11786911345322,0.0859218913850032
"175","ACADSB",0,8.10997635552387,0,0.307188484589905,0.029385713916547
"176","ACADVL",0.456768688334713,0.409600298015381,0.0118001717522536,3.56798852093936,0.0853034031407733
"177","ACAP1",0.149464449861844,0.0171788775070723,0,6.04562506819117,0.565983605924919
"178","ACAP2",0.250898223764471,0.556152806633052,0,0.320563931349386,0.797607697949064
"179","ACAP3",1.44868616352422,1.26034117587091,0,0.0291278395275395,0.0495639528126778
"180","ACAT1",0.317682307141408,0.0147831785548693,0,0.284194532547323,1.49042759363786
"181","ACAT2",0,1.61957423308342,0,0.0035641294629499,1.67140152647125
"182","ACBD3",0.476397024071141,6.08013253389927,0,0.204808731107803,0.826983728720032
"183","ACBD4",0,0,0,0,0.161186023148082
"184","ACBD5",0,6.73047965048956,0,0.83390244560474,4.35485177970483
"185","ACBD6",0.34820743883298,0.0574685499249277,0,1.58407865405736,0.45996921053991
"186","ACCS",0,0,0,1.19349514194357,5.61357029649788
"187","ACD",0.870755027010679,0.299506334747784,0,0.918801724970639,1.60439024287741
"188","ACER3",0,0.412338524075594,0,8.3183586224169,4.99182716635176
"189","ACIN1",1.18750875825086,0.0456641761648765,0,0.167043311733563,0.0194229469072246
"190","ACLY",0.106072074390873,0.495147867765943,0,0.316881104412629,0.518792490043122
"191","ACO1",0,0,0,4.42095443245004,0.0384843970903045
"192","ACO2",3.84016243808153,3.87626719530671,0,0.0154232537379369,0.000254711360107481
"193","ACOT13",0,0,0,3.89068049984173,5.04244559655238
"194","ACOT2",0,0.421108996220611,0,0.0966684136435261,0.47141759327295
"195","ACOT4",0,0,0,0,0.00104543572954178
"196","ACOT7",0,13.0778070608264,0,0,0.461514330561259
"197","ACOT8",0.0306175006471387,0.00222907880971193,0,4.98533708475943,1.51266522414963
"198","ACOT9",0.0302119837861855,0.110879108430808,0,1.3249124070972,0.362267981166605
"199","ACOX1",0,0.0452158862976005,0,6.34833807092668e-05,0.000255805814607757
"200","ACOX3",0,0,0,0.135049313916248,1.21620320193379
"201","ACP1",0.928484644009966,1.13803340845811,0.38428805260939,2.16303611017792,0.960448940845326
"202","ACP2",0,0,0,1.1777251470966,0.282409082243705
"203","ACP5",0.498991665195498,2.61678618395369,0,0.247673804242769,3.30283035930641
"204","ACP6",0,0,0,0,3.96863618214063
"205","ACPP",0,0,0,0.737489720204203,0
"206","ACRBP",0,0,3.42119856702963,0.740012027729481,3.41111894243214
"207","ACRC",0,0,0,0,0.0484073355281801
"208","ACSF2",0,0,0,3.18803467687167,0.0544541233299011
"209","ACSF3",0.943905477585267,2.62094317014915,0,0.170560898666486,0.0820770303315717
"210","ACSL1",0,0,0,3.75176818995411,1.11014260548217
"211","ACSL3",1.84305565467449,1.12204787532798,0,13.9156065271582,0.00686019025022529
"212","ACSL4",0,0,0,0.635854444147566,1.04375135283824
"213","ACSL5",0,1.97365931386766,0,0.452029958891076,0.746390570061762
"214","ACSL6",0,0,0,0,0.439828703458077
"215","ACSM3",15.8035452065913,0,0,0,0.270122321341813
"216","ACSS1",0.0970127403359109,0.036133192244707,0,0.0908480561143256,0.0226330809857428
"217","ACSS2",0,0,0,2.73627975621005,1.58457644043365
"218","ACTA2",0,0,0,0,2.82138517156323
"219","ACTB",2.02896328072104,0.766663640870887,1.8092460707434,0.659332547637379,0.827729297266803
"220","ACTG1",0.00757315281109014,0.213704837756151,5.04094413041868,0.535295856233912,0.0494505727066064
"221","ACTL10",0,0,0,0,1.07232584379201
"222","ACTL6A",0,0.286229164151,0,0.278281820687605,1.75393327247711
"223","ACTN1",0,0,0.161879124958695,3.80374357151061,0.843892930664606
"224","ACTN4",0.742339493015258,0.0295430991467709,0,1.37179546741768,0.72436262791448
"225","ACTR10",5.93481237022904,2.9002511815192,8.86034510169255,0.00709811996035017,0.363008632799218
"226","ACTR1A",0.141491565830473,2.26277305375958,0,3.69262123284784,3.23284583238214
"227","ACTR1B",0.0601813205020676,0.484747873444235,0,6.11546736882998,5.40119972451755
"228","ACTR2",0.0578194468496227,0.110993435264989,0.0144615814979355,0.00999982237199546,0.0152649402943588
"229","ACTR3",1.71505145139096,1.21145054656911,0.306351917583816,1.40361955523722,10.2285679348768
"230","ACTR3B",0,0,0,0,0.0351137983151107
"231","ACTR3C",0,0,0,0,0.914335524367884
"232","ACTR5",0,0,0,0.116861371235633,0.0223683730928125
"233","ACTR6",0.32010691542759,0.0248160567418541,1.27282327083642,0.0400340405228231,1.06336828103717
"234","ACTR8",0,0.119716231192821,0,2.92475283792567,0.908340239461545
"235","ACVR1",0,0,0,1.92452416627657,0.0349663629930895
"236","ACVR1B",0,0,0,0.924038622111722,4.92844918323279
"237","ACVR1C",0,0,0,0,0.233486946326648
"238","ACVR2A",0,0,0,4.21939483992215,1.78508835901134
"239","ACVR2B",0,0,0,0,0.00030703511803684
"240","ACY1",0,0,0,0,0.887315215520072
"241","ACYP1",1.17338786854662,1.11925706705492,0,2.17457538488433,2.76872684883845
"242","ACYP2",1.67226159268575,1.12958937228036,0,5.66495944746192,1.87734545307028
